Team;Total DVOA Rank;Total DVOA;Prev. Year Rank;W-L;Weighted DVOA Rank;Weighted DVOA;Offense DVOA Rank;Offense DVOA;Defense DVOA Rank;Defense DVOA;Special Teams DVOA Rank;Special Teams DVOA;Estimated Wins Rank;Estimated Wins;Unadj. Total VOA Rank;Unadj. Total VOA;Schedule Rank;Schedule;Pythagorean Wins Rank;Pythagorean Wins;Variance Rank;Variance
TEN;31;-0,311;21;2-14;31;-0,38;29;-0,161;32;0,132;20;-0,018;31;3,7;29;-0,277;24;-0,025;31;3,3;23;0,187
WAS;28;-0,291;30;4-12;32;-0,424;28;-0,128;28;0,109;29;-0,054;29;4,2;30;-0,277;20;-0,013;28;4,5;30;0,239
ARI;2;0,302;20;13-3;6;0,217;4;0,162;2;-0,181;29;-0,04;3;12;3;0,31;16;0,016;2;12,1;31;0,229
ATL;22;-0,123;21;8-8;28;-0,184;22;-0,072;18;0,031;22;-0,021;23;6,4;19;-0,055;31;-0,074;15;7,8;3;0,072
BAL;18;-0,044;4;5-11;20;-0,041;21;-0,054;22;0,063;1;0,073;19;7,2;21;-0,084;7;0,047;25;6;1;0,039
BUF;13;0,009;9;8-8;16;-0,012;9;0,097;24;0,103;12;0,015;12;8,5;12;0,039;19;-0,012;13;8,5;10;0,106
CAR;4;0,255;24;15-1;3;0,294;7;0,105;3;-0,173;23;-0,024;5;11;2;0,314;32;-0,078;1;12,4;18;0,141
CHI;19;-0,065;26;6-10;14;0,002;10;0,066;31;0,119;21;-0,012;20;6,7;23;-0,111;4;0,06;22;6,3;6;0,085
CIN;3;0,266;13;12-4;5;0,223;2;0,194;10;-0,05;8;0,022;2;12,1;6;0,223;13;0,031;4;11,7;7;0,086
CLE;30;-0,241;23;3-13;31;-0,25;27;-0,132;30;0,115;15;0,007;30;4,3;31;-0,316;2;0,085;31;4;4;0,081
DAL;26;-0,16;6;4-12;24;-0,171;30;-0,158;17;0,02;11;0,018;29;4,6;27;-0,174;17;0,005;29;5,2;2;0,045
DEN;8;0,174;2;12-4;7;0,176;24;-0,085;1;-0,252;14;0,007;8;10,6;9;0,173;11;0,035;10;9,7;13;0,114
DET;12;0,05;11;7-9;9;0,149;13;0,017;13;-0,023;13;0,01;15;7,9;16;-0,011;12;0,034;18;6,9;24;0,168
GB;10;0,087;3;10-6;18;-0,026;11;0,027;9;-0,057;17;0,004;9;9,7;11;0,045;5;0,053;11;9,3;25;0,168
HOU;17;-0,024;18;9-7;13;0,053;25;-0,088;7;-0,122;32;-0,057;14;8,1;14;0,031;23;-0,039;12;8,8;28;0,178
IND;24;-0,14;14;8-8;23;-0,145;31;-0,159;15;-0,014;16;0,005;28;5,4;25;-0,14;21;-0,034;26;6;17;0,134
JAX;27;-0,167;32;5-11;26;-0,179;20;-0,052;25;0,106;20;-0,009;26;5,6;24;-0,119;28;-0,067;23;6,2;11;0,106
KC;5;0,255;10;11-5;2;0,327;6;0,131;8;-0,104;9;0,02;4;11,4;5;0,24;15;0,019;6;11,2;29;0,181
MIA;29;-0,211;16;6-10;29;-0,207;23;-0,074;28;0,11;24;-0,027;27;5,6;28;-0,175;20;-0,031;28;5,8;32;0,259
MIN;11;0,058;25;11-5;10;0,135;15;0,005;14;-0,014;4;0,039;11;9,5;10;0,061;10;0,038;9;9,8;23;0,163
NE;6;0,226;5;12-4;8;0,151;5;0,154;11;-0,034;5;0,039;6;10,8;4;0,242;25;-0,048;5;11,7;14;0,124
NO;25;-0,15;15;7-9;22;-0,12;8;0,098;32;0,217;26;-0,032;24;5,7;22;-0,108;22;-0,035;21;6,4;15;0,128
NYG;20;-0,074;22;6-10;21;-0,08;19;-0,018;27;0,11;2;0,054;17;7,4;17;-0,044;26;-0,049;16;7,5;16;0,133
NYJ;9;0,117;27;10-6;11;0,121;14;0,016;6;-0,13;25;-0,029;10;9,6;7;0,189;30;-0,074;8;10;12;0,107
OAK;15;-0,006;30;7-9;15;-0,007;17;-0,013;16;-0,008;19;-0,001;18;7,3;15;-0,004;9;0,042;17;6,9;8;0,089
PHI;23;-0,127;7;7-9;25;-0,174;26;-0,105;20;0,042;10;0,019;21;6,6;26;-0,142;18;-0,007;19;6,7;30;0,195
PIT;7;0,204;8;10-6;4;0,239;3;0,177;12;-0,026;18;0,001;7;10,7;8;0,185;8;0,045;7;10,7;9;0,094
SD;28;-0,169;19;4-12;27;-0,179;16;-0,004;29;0,112;31;-0,053;25;5,7;29;-0,183;6;0,049;27;5,9;5;0,084
SEA;1;0,386;1;10-6;1;0,512;1;0,197;4;-0,148;3;0,042;1;12,6;1;0,322;14;0,029;3;11,8;21;0,15
SF;32;-0,283;12;5-11;30;-0,238;28;-0,139;26;0,108;27;-0,036;32;3,9;32;-0,326;1;0,095;32;3,8;19;0,142
STL;14;0,009;17;7-9;17;-0,022;29;-0,155;5;-0,14;7;0,024;13;8,3;18;-0,05;3;0,064;20;6,5;20;0,146
TB;21;-0,095;29;6-10;19;-0,032;18;-0,015;19;0,033;30;-0,047;22;6,5;20;-0,078;29;-0,067;24;6;26;0,17
TEN;31;-0,281;31;3-13;32;-0,341;32;-0,159;23;0,084;28;-0,038;31;4,2;30;-0,269;27;-0,055;30;4,8;22;0,16
WAS;16;-0,008;28;9-7;12;0,061;12;0,02;21;0,06;6;0,032;16;7,7;13;0,034;24;-0,047;14;8,2;27;0,173
ARI;13;0,046;2;7-8-1;14;0,037;22;-0,062;2;-0,171;30;-0,063;18;8,1;10;0,078;30;-0,045;7;9,4;20;0,146
ATL;3;0,239;22;11-5;2;0,264;1;0,251;19;0,036;7;0,025;2;12,3;2;0,242;21;-0,004;3;10,9;8;0,079
BAL;12;0,072;18;8-8;8;0,116;23;-0,072;6;-0,095;4;0,049;11;9,1;11;0,061;11;0,008;13;8,6;21;0,147
BUF;19;-0,007;13;7-9;20;-0,027;10;0,105;27;0,094;22;-0,019;21;7,2;18;0,021;29;-0,044;15;8,5;28;0,173
CAR;24;-0,063;4;6-10;24;-0,073;25;-0,083;10;-0,044;25;-0,025;24;6,6;24;-0,092;6;0,025;25;7,1;10;0,094
CHI;25;-0,088;19;3-13;25;-0,091;17;-0,028;22;0,054;18;-0,006;25;6,1;27;-0,1;19;-0,001;28;4,7;23;0,149
CIN;14;0,032;3;6-9-1;12;0,05;11;0,073;18;0,014;28;-0,027;19;7,8;19;0,02;15;0,005;19;8,3;11;0,098
CLE;31;-0,325;30;1-15;30;-0,299;29;-0,136;32;0,164;26;-0,025;32;1,3;32;-0,405;2;0,06;31;3,3;7;0,076
DAL;2;0,24;26;13-3;3;0,252;3;0,202;14;-0,022;9;0,016;1;12,3;3;0,225;8;0,015;2;11;4;0,063
